year,prizes,full_prizes
2019-12-15,天津2注辽宁1注江苏2注浙江2注重庆1注广东2注云南1注新疆1注深圳1注共13注。其中一等奖特别奖为：天津1注辽宁1注江苏1注浙江1注广东2注云南1注新疆1注；一等奖普惠奖为：天津1注江苏1注浙江1注重庆1注深圳1注。,一等奖中奖情况：天津2注辽宁1注江苏2注浙江2注重庆1注广东2注云南1注新疆1注深圳1注共13注。其中一等奖特别奖为：天津1注辽宁1注江苏1注浙江1注广东2注云南1注新疆1注；一等奖普惠奖为：天津1注江苏1注浙江1注重庆1注深圳1注。
2019-12-12,内蒙古1注上海2注江西1注重庆2注河南1注湖北2注四川2注共11注。其中一等奖特别奖为：内蒙古1注上海2注江西1注重庆2注河南1注湖北1注四川2注；一等奖普惠奖为：湖北1注。,一等奖中奖情况：内蒙古1注上海2注江西1注重庆2注河南1注湖北2注四川2注共11注。其中一等奖特别奖为：内蒙古1注上海2注江西1注重庆2注河南1注湖北1注四川2注；一等奖普惠奖为：湖北1注。
2019-12-10,河北1注江苏1注浙江1注福建5注广西1注新疆5注共14注。其中一等奖特别奖为：河北1注江苏1注福建5注广西1注新疆5注；一等奖普惠奖为：浙江1注。,一等奖中奖情况：河北1注江苏1注浙江1注福建5注广西1注新疆5注共14注。其中一等奖特别奖为：河北1注江苏1注福建5注广西1注新疆5注；一等奖普惠奖为：浙江1注。
2019-12-08,山东2注共2注。其中一等奖特别奖为：山东2注。,一等奖中奖情况：山东2注共2注。其中一等奖特别奖为：山东2注。
2019-12-05,北京5注河北1注山西1注辽宁1注吉林1注黑龙江1注浙江4注江西1注山东1注湖北1注广东2注四川3注陕西2注深圳1注共25注。其中一等奖特别奖为：北京5注河北1注辽宁1注黑龙江1注浙江4注山东1注湖北1注广东2注四川3注陕西1注深圳1注；一等奖普惠奖为：山西1注吉林1注江西1注陕西1注。,一等奖中奖情况：北京5注河北1注山西1注辽宁1注吉林1注黑龙江1注浙江4注江西1注山东1注湖北1注广东2注四川3注陕西2注深圳1注共25注。其中一等奖特别奖为：北京5注河北1注辽宁1注黑龙江1注浙江4注山东1注湖北1注广东2注四川3注陕西1注深圳1注；一等奖普惠奖为：山西1注吉林1注江西1注陕西1注。
2019-12-03,辽宁1注浙江1注安徽1注重庆1注共4注。其中一等奖特别奖为：浙江1注；一等奖普惠奖为：辽宁1注安徽1注重庆1注。,一等奖中奖情况：辽宁1注浙江1注安徽1注重庆1注共4注。其中一等奖特别奖为：浙江1注；一等奖普惠奖为：辽宁1注安徽1注重庆1注。
2019-12-01,北京1注河北3注山西1注内蒙古1注上海2注江西1注重庆2注河南1注贵州1注甘肃1注宁夏1注共15注。其中一等奖特别奖为：北京1注河北2注山西1注内蒙古1注上海2注江西1注重庆2注甘肃1注宁夏1注；一等奖普惠奖为：河北1注河南1注贵州1注。,一等奖中奖情况：北京1注河北3注山西1注内蒙古1注上海2注江西1注重庆2注河南1注贵州1注甘肃1注宁夏1注共15注。其中一等奖特别奖为：北京1注河北2注山西1注内蒙古1注上海2注江西1注重庆2注甘肃1注宁夏1注；一等奖普惠奖为：河北1注河南1注贵州1注。
2019-11-28,北京1注天津1注内蒙古4注辽宁2注吉林2注黑龙江2注上海2注江苏1注浙江3注安徽1注福建1注江西2注重庆1注湖北1注四川1注甘肃1注深圳1注共27注。其中一等奖特别奖为：天津1注内蒙古4注吉林1注黑龙江2注上海1注浙江2注安徽1注福建1注江西1注重庆1注湖北1注四川1注甘肃1注深圳1注；一等奖普惠奖为：北京1注辽宁2注吉林1注上海1注江苏1注浙江1注江西1注。,一等奖中奖情况：北京1注天津1注内蒙古4注辽宁2注吉林2注黑龙江2注上海2注江苏1注浙江3注安徽1注福建1注江西2注重庆1注湖北1注四川1注甘肃1注深圳1注共27注。其中一等奖特别奖为：天津1注内蒙古4注吉林1注黑龙江2注上海1注浙江2注安徽1注福建1注江西1注重庆1注湖北1注四川1注甘肃1注深圳1注；一等奖普惠奖为：北京1注辽宁2注吉林1注上海1注江苏1注浙江1注江西1注。
2019-11-26,福建1注山东2注湖南1注广东2注甘肃1注共7注。其中一等奖特别奖为：山东1注湖南1注广东2注甘肃1注；一等奖普惠奖为：福建1注山东1注。,一等奖中奖情况：福建1注山东2注湖南1注广东2注甘肃1注共7注。其中一等奖特别奖为：山东1注湖南1注广东2注甘肃1注；一等奖普惠奖为：福建1注山东1注。
2019-11-24,江苏1注福建2注河南1注共4注。其中一等奖特别奖为：福建1注河南1注；一等奖普惠奖为：江苏1注福建1注。,一等奖中奖情况：江苏1注福建2注河南1注共4注。其中一等奖特别奖为：福建1注河南1注；一等奖普惠奖为：江苏1注福建1注。
