releaseNo,releaseNoY,year,numbers,total,avg,single,prize,wonPersonCount
1205,098079,2009/10/2(星期五),09152528303522,142,24,4單2雙,0,0
1206,098078,2009/9/29(星期二),17273237454725,205,34,5單1雙,0,0
1207,098077,2009/9/25(星期五),01091316333704,109,18,5單1雙,0,0
1208,098076,2009/9/22(星期二),03040812214248,90,15,2單4雙,0,0
1209,098075,2009/9/18(星期五),02040809263823,87,15,1單5雙,0,0
1210,098074,2009/9/15(星期二),02042636434830,159,27,1單5雙,154407830,1
1211,098073,2009/9/11(星期五),10161831334807,156,26,2單4雙,0,0
1212,098072,2009/9/8(星期二),08111215192034,85,14,3單3雙,0,0
1213,098071,2009/9/4(星期五),05283136404920,189,32,3單3雙,0,0
1214,098070,2009/9/1(星期二),07081219263609,108,18,2單4雙,0,0
1215,098069,2009/8/28(星期五),12233944454847,211,35,3單3雙,15554484,2
1216,098068,2009/8/25(星期二),01070915213831,91,15,5單1雙,43957332,2
1217,098067,2009/8/21(星期五),11133237424320,178,30,4單2雙,0,0
1218,098066,2009/8/18(星期二),11121831464727,165,28,3單3雙,0,0
1219,098065,2009/8/14(星期五),04081526394934,141,24,3單3雙,28931818,1
1220,098064,2009/8/11(星期二),03242728304642,158,26,2單4雙,284498374,1
1221,098063,2009/8/7(星期五),01021526314943,124,21,4單2雙,0,0
1222,098062,2009/8/4(星期二),02212327444830,165,28,3單3雙,0,0
1223,098061,2009/7/31(星期五),04070910244241,96,16,2單4雙,0,0
1224,098060,2009/7/28(星期二),02101315254904,114,19,4單2雙,0,0
1225,098059,2009/7/24(星期五),01030722404715,120,20,4單2雙,0,0
1226,098058,2009/7/21(星期二),05172728394844,164,27,4單2雙,0,0
1227,098057,2009/7/17(星期五),09111316384206,129,22,3單3雙,0,0
1228,098056,2009/7/14(星期二),04051537414408,146,24,4單2雙,0,0
1229,098055,2009/7/10(星期五),03082126304611,134,22,2單4雙,197421067,1
1230,098054,2009/7/7(星期二),02253137394735,181,30,5單1雙,0,0
1231,098053,2009/7/3(星期五),17193240414737,196,33,4單2雙,0,0
1232,098052,2009/6/30(星期二),04070921263428,101,17,3單3雙,0,0
1233,098051,2009/6/26(星期五),06123338434549,177,30,3單3雙,0,0
1234,098050,2009/6/23(星期二),06212229434948,170,28,4單2雙,0,0
1235,098049,2009/6/19(星期五),02121923404209,138,23,2單4雙,15830071,2
1236,098048,2009/6/16(星期二),03050810253015,81,14,3單3雙,54854831,1
1237,098047,2009/6/12(星期五),12133241434421,185,31,3單3雙,0,0
1238,098046,2009/6/9(星期二),26273536444942,217,36,3單3雙,937684422,1
1239,098045,2009/6/5(星期五),06232742444915,191,32,3單3雙,0,0
1240,098044,2009/6/2(星期二),11122028344641,151,25,1單5雙,0,0
1241,098043,2009/5/29(星期五),21293034364549,195,33,3單3雙,0,0
1242,098042,2009/5/26(星期二),03083339414832,172,29,4單2雙,0,0
1243,098041,2009/5/22(星期五),01021618324015,109,18,1單5雙,0,0
1244,098040,2009/5/19(星期二),11313238464842,206,34,2單4雙,0,0
1245,098039,2009/5/15(星期五),05071415184511,104,17,4單2雙,0,0
1246,098038,2009/5/12(星期二),01032026394430,133,22,3單3雙,0,0
1247,098037,2009/5/8(星期五),03151922243105,114,19,4單2雙,0,0
1248,098036,2009/5/5(星期二),12153742454729,198,33,4單2雙,0,0
1249,098035,2009/5/1(星期五),03052126384332,136,23,4單2雙,497379016,1
1250,098034,2009/4/28(星期二),05182930394326,164,27,4單2雙,0,0
1251,098033,2009/4/24(星期五),13202124424943,169,28,3單3雙,0,0
1252,098032,2009/4/21(星期二),11162327363935,152,25,4單2雙,0,0
1253,098031,2009/4/17(星期五),16182122243834,139,23,1單5雙,0,0
1254,098030,2009/4/14(星期二),02082023454843,146,24,2單4雙,0,0
1255,098029,2009/4/10(星期五),08092536404417,162,27,2單4雙,0,0
1256,098028,2009/4/7(星期二),03122431434642,159,27,3單3雙,0,0
1257,098027,2009/4/3(星期五),06333642444548,206,34,2單4雙,0,0
1258,098026,2009/3/31(星期二),13162325314736,155,26,5單1雙,0,0
1259,098025,2009/3/27(星期五),01021828344025,123,21,1單5雙,0,0
1260,098024,2009/3/24(星期二),02071821252932,102,17,4單2雙,182527274,2
1261,098023,2009/3/20(星期五),02070911183105,78,13,4單2雙,0,0
1262,098022,2009/3/17(星期二),01051823293527,111,19,5單1雙,0,0
1263,098021,2009/3/13(星期五),09243245464733,203,34,3單3雙,0,0
1264,098020,2009/3/10(星期二),09132628363846,150,25,2單4雙,0,0
1265,098019,2009/3/6(星期五),06132126313230,129,22,3單3雙,0,0
1266,098018,2009/3/3(星期二),07142628344509,154,26,2單4雙,0,0
1267,098017,2009/2/27(星期五),13171926343602,145,24,3單3雙,0,0
1268,098016,2009/2/24(星期二),04112325384617,147,25,3單3雙,0,0
1269,098015,2009/2/20(星期五),01132434404937,161,27,3單3雙,37717252,1
1270,098014,2009/2/17(星期二),05162122364328,143,24,3單3雙,36226269,1
1271,098013,2009/2/13(星期五),02030724424510,123,21,3單3雙,172400290,1
1272,098012,2009/2/10(星期二),09121830464842,163,27,1單5雙,0,0
1273,098011,2009/2/6(星期五),04071021273237,101,17,3單3雙,0,0
1274,098010,2009/2/3(星期二),03101423424334,135,23,3單3雙,0,0
1275,098009,2009/1/30(星期五),02051023394148,120,20,4單2雙,401758712,1
1276,098008,2009/1/27(星期二),13142732353848,159,27,3單3雙,0,0
1277,098007,2009/1/23(星期五),10112128384029,148,25,2單4雙,79358846,1
1278,098006,2009/1/20(星期二),07212223404334,156,26,4單2雙,0,0
1279,098005,2009/1/16(星期五),08242526334013,156,26,2單4雙,54736614,2
1280,098004,2009/1/13(星期二),04111833474830,161,27,3單3雙,0,0
1281,098003,2009/1/9(星期五),04152730374519,158,26,4單2雙,0,0
1282,098002,2009/1/6(星期二),04152021293316,122,20,4單2雙,93001317,1
1283,098001,2009/1/2(星期五),02062326353811,130,22,2單4雙,0,0
1284,097105,2008/12/30(星期二),03092526363935,138,23,4單2雙,0,0
1285,097104,2008/12/26(星期五),08151833374032,151,25,3單3雙,338949741,3
1286,097103,2008/12/23(星期二),02072325394522,141,24,5單1雙,0,0
1287,097102,2008/12/19(星期五),03101530384541,141,24,3單3雙,0,0
1288,097101,2008/12/16(星期二),14252635394037,179,30,3單3雙,0,0
1289,097100,2008/12/12(星期五),02283436394224,181,30,1單5雙,0,0
1290,097099,2008/12/9(星期二),01050616264148,95,16,3單3雙,0,0
1291,097098,2008/12/5(星期五),02030831404445,128,21,2單4雙,0,0
1292,097097,2008/12/2(星期二),07212930374936,173,29,5單1雙,0,0
1293,097096,2008/11/28(星期五),01050716174120,87,15,5單1雙,0,0
1294,097095,2008/11/25(星期二),04152639464911,179,30,3單3雙,0,0
1295,097094,2008/11/21(星期五),16172128303709,149,25,3單3雙,376653827,1
1296,097093,2008/11/18(星期二),14172029343907,153,26,3單3雙,0,0
1297,097092,2008/11/14(星期五),07152335364308,159,27,5單1雙,0,0
1298,097091,2008/11/11(星期二),11133334394515,175,29,5單1雙,0,0
1299,097090,2008/11/7(星期五),15253033404618,189,32,3單3雙,0,0
1300,097089,2008/11/4(星期二),11131920324009,135,23,3單3雙,0,0
1301,097088,2008/10/31(星期五),01030911194740,90,15,6單0雙,0,0
1302,097087,2008/10/28(星期二),02071214364135,112,19,2單4雙,506015010,1
1303,097086,2008/10/24(星期五),05060809144903,91,15,3單3雙,0,0
1304,097085,2008/10/21(星期二),02040708183033,69,12,1單5雙,0,0
1305,097084,2008/10/17(星期五),05111519283646,114,19,4單2雙,0,0
1306,097083,2008/10/14(星期二),08283043444612,199,33,1單5雙,0,0
1307,097082,2008/10/10(星期五),13142024414706,159,27,3單3雙,0,0
1308,097081,2008/10/7(星期二),01202829333440,145,24,3單3雙,0,0
1309,097080,2008/10/3(星期五),18193741454809,208,35,4單2雙,0,0
1310,097079,2008/9/30(星期二),01070913222734,79,13,5單1雙,55355498,1
1311,097078,2008/9/26(星期五),15293036414239,193,32,3單3雙,0,0
1312,097077,2008/9/23(星期二),02092022293538,117,20,3單3雙,202193846,1
1313,097076,2008/9/19(星期五),02132328354818,149,25,3單3雙,0,0
1314,097075,2008/9/16(星期二),02253132444607,180,30,2單4雙,0,0
1315,097074,2008/9/12(星期五),01091618343712,115,19,3單3雙,0,0
1316,097073,2008/9/9(星期二),10232728354602,169,28,3單3雙,0,0
1317,097072,2008/9/5(星期五),02031422323324,106,18,2單4雙,0,0
1318,097071,2008/9/2(星期二),02031021253447,95,16,3單3雙,194930313,3
1319,097070,2008/8/29(星期五),02242526284649,151,25,1單5雙,0,0
1320,097069,2008/8/26(星期二),02040618232432,77,13,1單5雙,0,0
1321,097068,2008/8/22(星期五),04050826313710,111,19,3單3雙,0,0
1322,097067,2008/8/19(星期二),02162535394326,160,27,4單2雙,0,0
1323,097066,2008/8/15(星期五),08142324434404,156,26,2單4雙,0,0
1324,097065,2008/8/12(星期二),16222433434945,187,31,3單3雙,0,0
1325,097064,2008/8/8(星期五),08162033354924,161,27,3單3雙,57518402,1
1326,097063,2008/8/5(星期二),05102941444506,174,29,4單2雙,0,0
1327,097062,2008/8/1(星期五),07111822373830,133,22,3單3雙,111811335,1
1328,097061,2008/7/29(星期二),16394142434514,226,38,4單2雙,0,0
1329,097060,2008/7/25(星期五),07192529354301,158,26,6單0雙,0,0
1330,097059,2008/7/22(星期二),01172529303347,135,23,5單1雙,0,0
1331,097058,2008/7/18(星期五),04060915203827,92,15,2單4雙,53697586,1
1332,097057,2008/7/15(星期二),06162136374540,161,27,3單3雙,0,0
1333,097056,2008/7/11(星期五),07212223343611,143,24,3單3雙,74058634,2
1334,097055,2008/7/8(星期二),14233233364203,180,30,2單4雙,0,0
1335,097054,2008/7/4(星期五),06101721434933,146,24,4單2雙,0,0
1336,097053,2008/7/1(星期二),15202435434809,185,31,3單3雙,0,0
1337,097052,2008/6/27(星期五),01020910384131,101,17,3單3雙,0,0
1338,097051,2008/6/24(星期二),02070820334304,113,19,3單3雙,434423337,1
1339,097050,2008/6/20(星期五),03202124283923,135,23,3單3雙,0,0
1340,097049,2008/6/17(星期二),01071532404109,136,23,4單2雙,0,0
1341,097048,2008/6/13(星期五),07082021313906,126,21,4單2雙,0,0
1342,097047,2008/6/10(星期二),14192022343937,148,25,2單4雙,0,0
1343,097046,2008/6/6(星期五),01202231404238,156,26,2單4雙,0,0
1344,097045,2008/6/3(星期二),01202427293104,132,22,4單2雙,0,0
1345,097044,2008/5/30(星期五),08111220324230,125,21,1單5雙,0,0
1346,097043,2008/5/27(星期二),04071524414930,140,23,4單2雙,0,0
1347,097042,2008/5/23(星期五),02101129374413,133,22,3單3雙,0,0
1348,097041,2008/5/20(星期二),08141742454739,173,29,3單3雙,0,0
1349,097040,2008/5/16(星期五),03072122264041,119,20,3單3雙,0,0
1350,097039,2008/5/13(星期二),11313738414718,205,34,5單1雙,59042506,1
1351,097038,2008/5/9(星期五),15172336434821,182,30,4單2雙,0,0
1352,097037,2008/5/6(星期二),09101523464838,151,25,3單3雙,154373579,1
1353,097036,2008/5/2(星期五),11131433394541,155,26,5單1雙,0,0
1354,097035,2008/4/29(星期二),02031132354218,125,21,3單3雙,0,0
1355,097034,2008/4/25(星期五),04152045474834,179,30,3單3雙,0,0
1356,097033,2008/4/22(星期二),10153136444907,185,31,3單3雙,0,0
1357,097032,2008/4/18(星期五),04132535384330,158,26,4單2雙,193172427,1
1358,097031,2008/4/15(星期二),13203233434728,188,31,4單2雙,0,0
1359,097030,2008/4/11(星期五),05062325284243,129,22,3單3雙,0,0
1360,097029,2008/4/8(星期二),11232932373931,171,29,5單1雙,0,0
1361,097028,2008/4/4(星期五),13232830384426,176,29,2單4雙,0,0
1362,097027,2008/4/1(星期二),08162425323312,138,23,2單4雙,0,0
1363,097026,2008/3/28(星期五),01080912192649,75,13,3單3雙,252408245,1
1364,097025,2008/3/25(星期二),02030513334910,105,18,5單1雙,0,0
1365,097024,2008/3/21(星期五),11142732344928,167,28,3單3雙,0,0
1366,097023,2008/3/18(星期二),01092733384931,157,26,5單1雙,0,0
1367,097022,2008/3/14(星期五),03213034444913,181,30,3單3雙,0,0
1368,097021,2008/3/11(星期二),07082130364404,146,24,2單4雙,0,0
1369,097020,2008/3/7(星期五),12252840414229,188,31,2單4雙,0,0
1370,097019,2008/3/4(星期二),01152225384716,148,25,4單2雙,270166420,1
1371,097018,2008/2/29(星期五),01070910182743,72,12,4單2雙,0,0
1372,097017,2008/2/26(星期二),06163337404728,179,30,3單3雙,0,0
1373,097016,2008/2/22(星期五),01030712304322,96,16,4單2雙,0,0
1374,097015,2008/2/19(星期二),16222631394309,177,30,3單3雙,0,0
1375,097014,2008/2/15(星期五),01223141424636,183,31,3單3雙,0,0
1376,097013,2008/2/12(星期二),05121922252729,110,18,4單2雙,113039059,1
1377,097012,2008/2/8(星期五),01030607152739,59,10,5單1雙,0,0
1378,097011,2008/2/5(星期二),17293033354210,186,31,4單2雙,100000000,1
1379,097010,2008/2/1(星期五),01020618203829,85,14,1單5雙,0,0
1380,097009,2008/1/29(星期二),21343841424925,225,38,3單3雙,100000000,1
1381,097008,2008/1/25(星期五),01041520244032,104,17,2單4雙,0,0
1382,097007,2008/1/22(星期二),09131426303705,129,22,3單3雙,36281012,1
1383,097006,2008/1/18(星期五),06081825263613,119,20,1單5雙,176190682,1
1384,097005,2008/1/15(星期二),05081031324111,127,21,3單3雙,0,0
1385,097004,2008/1/11(星期五),03070827374948,131,22,5單1雙,0,0
1386,097003,2008/1/8(星期二),03071217284436,111,19,3單3雙,0,0
1387,097002,2008/1/4(星期五),05132931394033,157,26,5單1雙,86276940,1
1388,097001,2008/1/1(星期二),13182743474821,196,33,4單2雙,0,0
1389,096104,2007/12/28(星期五),10121618222930,107,18,1單5雙,409057095,1
1390,096103,2007/12/25(星期二),05060918313732,106,18,4單2雙,0,0
1391,096102,2007/12/21(星期五),15192022284442,148,25,2單4雙,153370190,1
1392,096101,2007/12/18(星期二),04071319234917,115,19,5單1雙,321449451,1
1393,096100,2007/12/14(星期五),01172627343913,144,24,4單2雙,0,0
1394,096099,2007/12/11(星期二),10151620274319,131,22,3單3雙,150376523,1
1395,096098,2007/12/7(星期五),08101728323442,129,22,1單5雙,141961309,1
1396,096097,2007/12/4(星期二),01163138434442,173,29,3單3雙,254961665,5
1397,096096,2007/11/30(星期五),08151619304544,133,22,3單3雙,0,0
1398,096095,2007/11/27(星期二),08121634364733,153,26,1單5雙,0,0
1399,096094,2007/11/23(星期五),01222343464933,184,31,4單2雙,0,0
1400,096093,2007/11/20(星期二),01161720224229,118,20,2單4雙,0,0
1401,096092,2007/11/16(星期五),16202239424638,185,31,1單5雙,128413694,1
1402,096091,2007/11/13(星期二),03051617323724,110,18,4單2雙,0,0
1403,096090,2007/11/9(星期五),01020612182425,63,11,1單5雙,0,0
1404,096089,2007/11/6(星期二),01102740434402,165,28,3單3雙,0,0
1405,096088,2007/11/2(星期五),04102844454839,179,30,1單5雙,100000000,1
1406,096087,2007/10/30(星期二),01040917194107,91,15,5單1雙,0,0
1407,096086,2007/10/26(星期五),03111316213626,100,17,4單2雙,100000000,1
1408,096085,2007/10/23(星期二),10252934474917,194,32,4單2雙,0,0
1409,096084,2007/10/19(星期五),15172228364624,164,27,2單4雙,97370469,1
1410,096083,2007/10/16(星期二),05071118384031,119,20,3單3雙,0,0
1411,096082,2007/10/12(星期五),09202326283744,143,24,3單3雙,0,0
1412,096081,2007/10/9(星期二),09363840464713,216,36,2單4雙,61539139,1
1413,096080,2007/10/5(星期五),03101926294818,135,23,3單3雙,0,0
1414,096079,2007/10/2(星期二),03040809244923,97,16,3單3雙,453711660,1
1415,096078,2007/9/28(星期五),08091617193045,99,17,3單3雙,0,0
1416,096077,2007/9/25(星期二),08101228384233,138,23,0單6雙,0,0
1417,096076,2007/9/21(星期五),01162431353921,146,24,4單2雙,0,0
1418,096075,2007/9/18(星期二),20252931374649,188,31,4單2雙,118965226,1
1419,096074,2007/9/14(星期五),02152227454832,159,27,3單3雙,0,0
1420,096073,2007/9/11(星期二),03141822283647,121,20,1單5雙,0,0
1421,096072,2007/9/7(星期五),03052232424928,153,26,3單3雙,0,0
1422,096071,2007/9/4(星期二),09171821424807,155,26,3單3雙,230418012,1
1423,096070,2007/8/31(星期五),23313540414421,214,36,4單2雙,0,0
1424,096069,2007/8/28(星期二),02112229343945,137,23,3單3雙,0,0
1425,096068,2007/8/24(星期五),04060712254709,101,17,3單3雙,0,0
1426,096067,2007/8/21(星期二),16242538424606,191,32,1單5雙,0,0
1427,096066,2007/8/17(星期五),02123135434740,170,28,4單2雙,0,0
1428,096065,2007/8/14(星期二),02051225263806,108,18,2單4雙,0,0
1429,096064,2007/8/10(星期五),11222729354048,164,27,4單2雙,124707279,1
1430,096063,2007/8/7(星期二),01051825354114,125,21,5單1雙,0,0
1431,096062,2007/8/3(星期五),02121527384035,134,22,2單4雙,0,0
1432,096061,2007/7/31(星期二),01060725394105,119,20,5單1雙,0,0
1433,096060,2007/7/27(星期五),13213239424636,193,32,3單3雙,124109659,1
1434,096059,2007/7/24(星期二),01071222293104,102,17,4單2雙,0,0
1435,096058,2007/7/20(星期五),02051019232511,84,14,4單2雙,0,0
1436,096057,2007/7/17(星期二),15293739484946,217,36,5單1雙,0,0
1437,096056,2007/7/13(星期五),05101318343515,115,19,3單3雙,100000000,1
1438,096055,2007/7/10(星期二),02293440444501,194,32,2單4雙,0,0
1439,096054,2007/7/6(星期五),09122336444826,172,29,2單4雙,50000000,2
1440,096053,2007/7/3(星期二),01050921244935,109,18,5單1雙,0,0
1441,096052,2007/6/29(星期五),09232628294431,159,27,3單3雙,0,0
1442,096051,2007/6/26(星期二),18243738434702,207,35,3單3雙,193204127,3
1443,096050,2007/6/22(星期五),13323539414201,202,34,4單2雙,0,0
1444,096049,2007/6/19(星期二),20283341434510,210,35,4單2雙,0,0
1445,096048,2007/6/15(星期五),11172834364626,172,29,2單4雙,0,0
1446,096047,2007/6/12(星期二),03052038394443,149,25,3單3雙,0,0
1447,096046,2007/6/8(星期五),01021126284616,114,19,2單4雙,0,0
1448,096045,2007/6/5(星期二),01162325364721,148,25,4單2雙,0,0
1449,096044,2007/6/1(星期五),07081125344316,128,21,4單2雙,459925064,1
1450,096043,2007/5/29(星期二),10151843454811,179,30,3單3雙,0,0
1451,096042,2007/5/25(星期五),02111325343638,121,20,3單3雙,0,0
1452,096041,2007/5/22(星期二),01183032414824,170,28,2單4雙,0,0
1453,096040,2007/5/18(星期五),11122741434636,180,30,4單2雙,0,0
1454,096039,2007/5/15(星期二),13313540474839,214,36,4單2雙,0,0
1455,096038,2007/5/11(星期五),10132126294749,146,24,4單2雙,0,0
1456,096037,2007/5/8(星期二),01162728414638,159,27,3單3雙,0,0
1457,096036,2007/5/4(星期五),06223438404415,184,31,0單6雙,0,0
1458,096035,2007/5/1(星期二),21242834454946,201,34,3單3雙,280867165,1
1459,096034,2007/4/27(星期五),09102932384237,160,27,2單4雙,0,0
1460,096033,2007/4/24(星期二),08202225384041,153,26,1單5雙,0,0
1461,096032,2007/4/20(星期五),09151619444937,152,25,4單2雙,0,0
1462,096031,2007/4/17(星期二),08314044454806,216,36,2單4雙,0,0
1463,096030,2007/4/13(星期五),05152328313349,135,23,5單1雙,0,0
1464,096029,2007/4/10(星期二),02040620424739,121,20,1單5雙,0,0
1465,096028,2007/4/6(星期五),10182234353741,156,26,2單4雙,100000000,1
1466,096027,2007/4/3(星期二),04103943454933,190,32,4單2雙,0,0
1467,096026,2007/3/30(星期五),14313340454649,209,35,3單3雙,105240008,1
1468,096025,2007/3/27(星期二),04112139424310,160,27,4單2雙,0,0
1469,096024,2007/3/23(星期五),05061719203218,99,17,3單3雙,0,0
1470,096023,2007/3/20(星期二),14152537474913,187,31,5單1雙,299990349,1
1471,096022,2007/3/16(星期五),28353638434947,229,38,3單3雙,0,0
1472,096021,2007/3/13(星期二),04132224264128,130,22,2單4雙,0,0
1473,096020,2007/3/9(星期五),12142021233145,121,20,3單3雙,0,0
1474,096019,2007/3/6(星期二),02151631334640,143,24,3單3雙,0,0
1475,096018,2007/3/2(星期五),12152432394906,171,29,3單3雙,0,0
1476,096017,2007/2/27(星期二),06223639484928,200,33,2單4雙,100000000,1
1477,096016,2007/2/23(星期五),05132530394836,160,27,4單2雙,726486142,1
1478,096015,2007/2/20(星期二),01131933384536,149,25,5單1雙,0,0
1479,096014,2007/2/16(星期五),18192734444837,190,32,2單4雙,0,0
1480,096013,2007/2/13(星期二),02082539434613,163,27,3單3雙,97280185,2
1481,096012,2007/2/9(星期五),07283041454844,199,33,3單3雙,0,0
1482,096011,2007/2/6(星期二),12162632414801,175,29,1單5雙,0,0
1483,096010,2007/2/2(星期五),07081012474838,132,22,2單4雙,0,0
1484,096009,2007/1/30(星期二),06182639424514,176,29,2單4雙,0,0
1485,096008,2007/1/26(星期五),08131826343617,135,23,1單5雙,395748001,1
1486,096007,2007/1/23(星期二),06071531364429,139,23,3單3雙,0,0
1487,096006,2007/1/19(星期五),06262744454602,194,32,2單4雙,0,0
1488,096005,2007/1/16(星期二),13283338434804,203,34,3單3雙,0,0
1489,096004,2007/1/12(星期五),10162628313344,144,24,2單4雙,0,0
1490,096003,2007/1/9(星期二),26283539444518,217,36,3單3雙,0,0
1491,096002,2007/1/5(星期五),12192342444833,188,31,2單4雙,0,0
1492,096001,2007/1/2(星期二),13212327314919,164,27,6單0雙,0,0
