releaseNo,releaseNoY,year,numbers,total,avg,single,prize,wonPersonCount
942,101029,2012/4/10(星期二),06192731334213,158,26,4單2雙,0,0
943,101028,2012/4/6(星期五),04051436374025,136,23,2單4雙,0,0
944,101027,2012/4/3(星期二),08222339444736,183,31,3單3雙,0,0
945,101026,2012/3/30(星期五),01202128363830,144,24,2單4雙,0,0
946,101025,2012/3/27(星期二),16182327282919,141,24,3單3雙,0,0
947,101024,2012/3/23(星期五),22313637434411,213,36,3單3雙,0,0
948,101023,2012/3/20(星期二),04050713264624,101,17,3單3雙,462144970,1
949,101022,2012/3/16(星期五),26272830314308,185,31,3單3雙,0,0
950,101021,2012/3/13(星期二),06244647484940,220,37,2單4雙,0,0
951,101020,2012/3/9(星期五),10214144454832,209,35,3單3雙,0,0
952,101019,2012/3/6(星期二),02051720254814,117,20,3單3雙,0,0
953,101018,2012/3/2(星期五),02061521314524,120,20,4單2雙,0,0
954,101017,2012/2/28(星期二),02303236434749,190,32,2單4雙,0,0
955,101016,2012/2/24(星期五),02061315174304,96,16,4單2雙,0,0
956,101015,2012/2/21(星期二),02213239424619,182,30,2單4雙,0,0
957,101014,2012/2/17(星期五),14152630384419,167,28,1單5雙,246530153,5
958,101013,2012/2/14(星期二),02111921334540,131,22,5單1雙,0,0
959,101012,2012/2/10(星期五),05161929414337,153,26,5單1雙,0,0
960,101011,2012/2/7(星期二),07222733394113,169,28,5單1雙,0,0
961,101010,2012/2/3(星期五),05082032343517,134,22,2單4雙,0,0
962,101009,2012/1/31(星期二),01111415193342,93,16,5單1雙,0,0
963,101008,2012/1/27(星期五),03202122344044,140,23,2單4雙,0,0
964,101007,2012/1/24(星期二),08212938444520,185,31,3單3雙,127944885,3
965,101006,2012/1/20(星期五),10122230394409,157,26,1單5雙,207466534,2
966,101005,2012/1/17(星期二),04102235424632,159,27,1單5雙,0,0
967,101004,2012/1/13(星期五),22364243464821,237,40,1單5雙,0,0
968,101003,2012/1/10(星期二),03212327454740,166,28,6單0雙,100000000,1
969,101002,2012/1/6(星期五),10142335414619,169,28,3單3雙,643885564,1
970,101001,2012/1/3(星期二),09192634384037,166,28,2單4雙,0,0
971,100104,2011/12/30(星期五),12131528303703,135,23,3單3雙,0,0
972,100103,2011/12/27(星期二),01082324303214,118,20,2單4雙,0,0
973,100102,2011/12/23(星期五),06172731404828,169,28,3單3雙,0,0
974,100101,2011/12/20(星期二),05070926273408,108,18,4單2雙,0,0
975,100100,2011/12/16(星期五),10313536414434,197,33,3單3雙,0,0
976,100099,2011/12/13(星期二),02233036444824,183,31,1單5雙,0,0
977,100098,2011/12/9(星期五),10373839404518,209,35,3單3雙,0,0
978,100097,2011/12/6(星期二),03131418223806,108,18,2單4雙,0,0
979,100096,2011/12/2(星期五),23273137394506,202,34,6單0雙,0,0
980,100095,2011/11/29(星期二),01071114353610,104,17,4單2雙,0,0
981,100094,2011/11/25(星期五),08102730364348,154,26,2單4雙,100000000,1
982,100093,2011/11/22(星期二),16213740414627,201,34,3單3雙,100000000,1
983,100092,2011/11/18(星期五),10111215164519,109,18,3單3雙,0,0
984,100091,2011/11/15(星期二),12192135424640,175,29,3單3雙,201505702,2
985,100090,2011/11/11(星期五),04192029323630,140,23,2單4雙,0,0
986,100089,2011/11/8(星期二),02112235394036,149,25,3單3雙,0,0
987,100088,2011/11/4(星期五),02070814213811,90,15,2單4雙,0,0
988,100087,2011/11/1(星期二),04071314212922,88,15,4單2雙,0,0
989,100086,2011/10/28(星期五),05152427333601,140,23,4單2雙,0,0
990,100085,2011/10/25(星期二),02052428334404,136,23,2單4雙,0,0
991,100084,2011/10/21(星期五),20333435414304,206,34,4單2雙,0,0
992,100083,2011/10/18(星期二),04081932444621,153,26,1單5雙,0,0
993,100082,2011/10/14(星期五),07082123263928,124,21,4單2雙,0,0
994,100081,2011/10/11(星期二),02061833344328,136,23,2單4雙,100000000,1
995,100080,2011/10/7(星期五),01061316303303,99,17,3單3雙,157826444,1
996,100079,2011/10/4(星期二),02081526294903,129,22,3單3雙,0,0
997,100078,2011/9/30(星期五),10112434444831,171,29,1單5雙,0,0
998,100077,2011/9/27(星期二),03092326314241,134,22,4單2雙,0,0
999,100076,2011/9/23(星期五),14162327284440,152,25,2單4雙,0,0
1000,100075,2011/9/20(星期二),02252728343742,153,26,3單3雙,548121702,1
1001,100074,2011/9/16(星期五),15232830364845,180,30,2單4雙,0,0
1002,100073,2011/9/13(星期二),02081138414818,148,25,2單4雙,0,0
1003,100072,2011/9/9(星期五),01081215364710,119,20,3單3雙,0,0
1004,100071,2011/9/6(星期二),02092329384108,142,24,4單2雙,0,0
1005,100070,2011/9/2(星期五),02052224303542,118,20,2單4雙,0,0
1006,100069,2011/8/30(星期二),10122636374834,169,28,1單5雙,451545900,1
1007,100068,2011/8/26(星期五),10313233434530,194,32,4單2雙,0,0
1008,100067,2011/8/23(星期二),05232932364214,167,28,3單3雙,0,0
1009,100066,2011/8/19(星期五),13183032414845,182,30,2單4雙,0,0
1010,100065,2011/8/16(星期二),26303738424332,216,36,2單4雙,0,0
1011,100064,2011/8/12(星期五),02121422404504,135,23,1單5雙,0,0
1012,100063,2011/8/9(星期二),25273338404912,212,35,4單2雙,0,0
1013,100062,2011/8/5(星期五),03202425284930,149,25,3單3雙,0,0
1014,100061,2011/8/2(星期二),17242728424531,183,31,3單3雙,0,0
1015,100060,2011/7/29(星期五),06192837384642,174,29,2單4雙,0,0
1016,100059,2011/7/26(星期二),02081329353614,123,21,3單3雙,100000000,1
1017,100058,2011/7/22(星期五),04050608223842,83,14,1單5雙,100000000,1
1018,100057,2011/7/19(星期二),02172037474936,172,29,4單2雙,0,0
1019,100056,2011/7/15(星期五),17232730434931,189,32,5單1雙,0,0
